Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\controller-board-v0.2\Project Outputs for controller-board-v0.2\Pick Place for controller_board.txt

========================================================================================================================
File Design Information:

Date:       19.03.24
Time:       12:02
Revision:   3c405d20af9ee436d1b731cf01571d89839ad84f
Variant:    No variations
Units used: mil

Designator Comment                  Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                      
FD2        FID1X2R                  TopLayer    FID1X2R                       842.520       1952.756      90       "Fiducial - Round 1x2mm"                                                                                                                         
FD1        FID1X2R                  TopLayer    FID1X2R                       5133.858      4149.606      0        "Fiducial - Round 1x2mm"                                                                                                                         
C183       C1206X222KGRAC7800       TopLayer    CAP_1206_3216_-_0.8MM         275.591       4000.000      180      "CAP CER 2200PF 2KV X7R 1206"                                                                                                                    
R142       RC0603FR-07470RL         TopLayer    RES_0603_1608                 960.630       3031.496      180      "RES 470 OHM 1% 1/10W 0603"                                                                                                                      
D34        BAT60AE6327HTSA1         TopLayer    SOD323                        826.772       3102.362      180      "DIODE SCHOTTKY 10V 3A SOD323-2"                                                                                                                 
TP33       TPAD1200                 BottomLayer TPAD1200                      3560.000      1912.756      90       "1.2mm round"                                                                                                                                    
TP18       TPAD1200                 BottomLayer TPAD1200                      3279.528      2236.220      90       "1.2mm round"                                                                                                                                    
C182       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 3118.110      464.567       90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
C170       CL10C101JB81PNC          TopLayer    CAP_0603_1608                 3448.819      2622.047      270      "CAP CER 100PF 50V C0G/NP0 0603"                                                                                                                 
J10        M20-7820342              TopLayer    HARWIN_M20-7820345            3355.905      2492.126      90       "CONN RCPT 3POS 0.1 GOLD PCB"                                                                                                                    
U1         STM32G431RBT3            TopLayer    LQFP64-10mm                   2300.748      2305.512      45       "ARM® Cortex®-M4 STM32G4 Microcontroller IC 32-Bit Single-Core 170MHz 128KB (128K x 8) FLASH 64-LQFP (10x10)"                                    
R87        RC0603FR-0710KL          TopLayer    RES_0603_1608                 3862.205      673.228       270      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
R88        RC0603FR-070RL           TopLayer    RES_0603_1608                 3767.716      2330.709      90       "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                    
D15        SM712                    TopLayer    SOT-23-3                      4346.457      2181.102      0        "26V, 12V Clamp 17A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-3"                                                                               
