Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\measurement-board-v0.2\Project Outputs for measurement-board-v0.2\Pick Place for measurement_board.txt

========================================================================================================================
File Design Information:

Date:       21.03.24
Time:       15:42
Revision:   bc66d704bd553ab30062663adfa5b4c2f1894fa4
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint             Center-X(mil) Center-Y(mil) Rotation Description                                                                                                               
C60        C1206X222KGRAC7800     TopLayer    CAP_1206_3216_-_0.8MM 444.882       141.732       180      "CAP CER 2200PF 2KV X7R 1206"                                                                                             
TP35       TPAD1200               BottomLayer TPAD1200              3062.992      3161.417      90       "1.2mm round"                                                                                                             
TP34       TPAD1200               TopLayer    TPAD1200              3471.496      263.150       90       "1.2mm round"                                                                                                             
TP33       TPAD1200               TopLayer    TPAD1200              3472.441      366.142       90       "1.2mm round"                                                                                                             
TP32       TPAD1200               BottomLayer TPAD1200              3366.142      3688.976      90       "1.2mm round"                                                                                                             
TP31       TPAD1200               BottomLayer TPAD1200              3248.032      3688.976      90       "1.2mm round"                                                                                                             
TP30       TPAD1200               BottomLayer TPAD1200              2562.992      2641.732      90       "1.2mm round"                                                                                                             
TP29       TPAD1200               BottomLayer TPAD1200              2562.992      2397.638      90       "1.2mm round"                                                                                                             
TP28       TPAD1200               BottomLayer TPAD1200              3095.433      2180.472      90       "1.2mm round"                                                                                                             
TP27       TPAD1200               BottomLayer TPAD1200              3366.142      3511.811      90       "1.2mm round"                                                                                                             
TP26       TPAD1200               BottomLayer TPAD1200              2480.315      2259.843      90       "1.2mm round"                                                                                                             
TP25       TPAD1200               BottomLayer TPAD1200              3268.661      1637.165      90       "1.2mm round"                                                                                                             
TP24       TPAD1200               BottomLayer TPAD1200              3267.716      1791.339      90       "1.2mm round"                                                                                                             
TP23       TPAD1200               BottomLayer TPAD1200              3062.992      3043.307      90       "1.2mm round"                                                                                                             
TP22       TPAD1200               BottomLayer TPAD1200              3248.032      3511.811      90       "1.2mm round"                                                                                                             
TP21       TPAD1200               BottomLayer TPAD1200              3252.913      393.071       90       "1.2mm round"                                                                                                             
TP20       TPAD1200               BottomLayer TPAD1200              3339.528      1944.252      90       "1.2mm round"                                                                                                             
TP19       TPAD1200               BottomLayer TPAD1200              3421.260      484.252       90       "1.2mm round"                                                                                                             
TP18       TPAD1200               BottomLayer TPAD1200              2271.653      2763.780      90       "1.2mm round"                                                                                                             
TP17       TPAD1200               BottomLayer TPAD1200              299.213       2125.984      90       "1.2mm round"                                                                                                             
